Item ID,Title,Click potential,Feed label,Language,Item status,Channels,Issue title,Issue additional information,Traffic type,Country,Issue severity
utahbigarch-acrylic-20x40,Utahbigarch Print - Acrylic 20x40,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Unsupported image type,"Use an image in the accepted format (JPEG, PNG, GIF)",Shopping ads,United States,SEVERITY_DISAPPROVED
utahbigarch-acrylic-20x40,Utahbigarch Print - Acrylic 20x40,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Unsupported image type,"Use an image in the accepted format (JPEG, PNG, GIF)",Discovery Ads,United States,SEVERITY_DISAPPROVED
utahbigarch-acrylic-20x40,Utahbigarch Print - Acrylic 20x40,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Unsupported image type,"Use an image in the accepted format (JPEG, PNG, GIF)",Discovery Ads Discover Surface,United States,SEVERITY_DISAPPROVED
antelopecanyon-acrylic-16x24,Antelopecanyon Print - Acrylic 16x24,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Unsupported image type,"Use an image in the accepted format (JPEG, PNG, GIF)",Video Ads,United States,SEVERITY_DISAPPROVED
antelopecanyon-acrylic-16x24,Antelopecanyon Print - Acrylic 16x24,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Unsupported image type,"Use an image in the accepted format (JPEG, PNG, GIF)",Free listings,United States,SEVERITY_DISAPPROVED
antelopecanyon-acrylic-16x24,Antelopecanyon Print - Acrylic 16x24,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Unsupported image type,"Use an image in the accepted format (JPEG, PNG, GIF)",Shopping ads,United States,SEVERITY_DISAPPROVED
antelopecanyon-acrylic-16x24,Antelopecanyon Print - Acrylic 16x24,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Unsupported image type,"Use an image in the accepted format (JPEG, PNG, GIF)",Discovery Ads,United States,SEVERITY_DISAPPROVED
antelopecanyon-acrylic-16x24,Antelopecanyon Print - Acrylic 16x24,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Unsupported image type,"Use an image in the accepted format (JPEG, PNG, GIF)",Discovery Ads Discover Surface,United States,SEVERITY_DISAPPROVED
rainbowstorm-acrylic-20x40,Rainbowstorm Print - Acrylic 20x40,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Unsupported image type,"Use an image in the accepted format (JPEG, PNG, GIF)",Discovery Ads,United States,SEVERITY_DISAPPROVED
rainbowstorm-acrylic-20x40,Rainbowstorm Print - Acrylic 20x40,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Unsupported image type,"Use an image in the accepted format (JPEG, PNG, GIF)",Shopping ads,United States,SEVERITY_DISAPPROVED
rainbowstorm-acrylic-20x40,Rainbowstorm Print - Acrylic 20x40,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Unsupported image type,"Use an image in the accepted format (JPEG, PNG, GIF)",Free listings,United States,SEVERITY_DISAPPROVED
rainbowstorm-acrylic-20x40,Rainbowstorm Print - Acrylic 20x40,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Unsupported image type,"Use an image in the accepted format (JPEG, PNG, GIF)",Discovery Ads Discover Surface,United States,SEVERITY_DISAPPROVED
rainbowstorm-acrylic-20x40,Rainbowstorm Print - Acrylic 20x40,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Unsupported image type,"Use an image in the accepted format (JPEG, PNG, GIF)",Video Ads,United States,SEVERITY_DISAPPROVED
rainbowstorm-acrylic-24x36,Rainbowstorm Print - Acrylic 24x36,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Unsupported image type,"Use an image in the accepted format (JPEG, PNG, GIF)",Discovery Ads,United States,SEVERITY_DISAPPROVED
rainbowstorm-acrylic-24x36,Rainbowstorm Print - Acrylic 24x36,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Unsupported image type,"Use an image in the accepted format (JPEG, PNG, GIF)",Shopping ads,United States,SEVERITY_DISAPPROVED
rainbowstorm-acrylic-24x36,Rainbowstorm Print - Acrylic 24x36,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Unsupported image type,"Use an image in the accepted format (JPEG, PNG, GIF)",Free listings,United States,SEVERITY_DISAPPROVED
rainbowstorm-acrylic-24x36,Rainbowstorm Print - Acrylic 24x36,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Unsupported image type,"Use an image in the accepted format (JPEG, PNG, GIF)",Discovery Ads Discover Surface,United States,SEVERITY_DISAPPROVED
rainbowstorm-acrylic-24x36,Rainbowstorm Print - Acrylic 24x36,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Unsupported image type,"Use an image in the accepted format (JPEG, PNG, GIF)",Video Ads,United States,SEVERITY_DISAPPROVED
abstract-metal-20x30,Abstract Print - Metal 20x30,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Unsupported image type,"Use an image in the accepted format (JPEG, PNG, GIF)",Video Ads,United States,SEVERITY_DISAPPROVED
abstract-metal-20x30,Abstract Print - Metal 20x30,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Unsupported image type,"Use an image in the accepted format (JPEG, PNG, GIF)",Free listings,United States,SEVERITY_DISAPPROVED
abstract-metal-20x30,Abstract Print - Metal 20x30,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Unsupported image type,"Use an image in the accepted format (JPEG, PNG, GIF)",Shopping ads,United States,SEVERITY_DISAPPROVED
abstract-metal-20x30,Abstract Print - Metal 20x30,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Unsupported image type,"Use an image in the accepted format (JPEG, PNG, GIF)",Discovery Ads,United States,SEVERITY_DISAPPROVED
